"Gender";"Year";"Age";"Country";"imputed_flag";"mx";"logmx"
"Female";1953;11;"CHE";"FALSE";0.000472;-7.65853157237872
"Female";1953;12;"CHE";"FALSE";0.000313;-8.06930736742412
"Female";1953;13;"CHE";"FALSE";0.000361;-7.92663259963139
"Female";1953;14;"CHE";"FALSE";0.000531;-7.54074853672234
"Female";1953;15;"CHE";"FALSE";0.000296;-8.12515110364021
"Female";1953;16;"CHE";"FALSE";0.000552;-7.50196251168718
"Female";1953;17;"CHE";"FALSE";0.000583;-7.44732337161378
"Female";1953;18;"CHE";"FALSE";0.000745;-7.20212633958471
"Female";1953;19;"CHE";"FALSE";0.000639;-7.35560610358674
"Female";1953;20;"CHE";"FALSE";0.000445;-7.71743627579803
"Female";1953;21;"CHE";"FALSE";0.000702;-7.26157715393846
"Female";1953;22;"CHE";"FALSE";0.000602;-7.41525311265545
"Female";1953;23;"CHE";"FALSE";0.000596;-7.42526989089892
"Female";1953;24;"CHE";"FALSE";0.000752;-7.19277423401443
"Female";1953;25;"CHE";"FALSE";8e-04;-7.13089883029635
"Female";1953;26;"CHE";"FALSE";0.001093;-6.81882906978774
"Female";1953;27;"CHE";"FALSE";0.001021;-6.88697273979961
"Female";1953;28;"CHE";"FALSE";0.000923;-6.98788132346142
"Female";1953;29;"CHE";"FALSE";0.001146;-6.77147766068959
"Female";1953;30;"CHE";"FALSE";0.000788;-7.1460124681064
"Female";1953;31;"CHE";"FALSE";0.001368;-6.59440545978178
"Female";1953;32;"CHE";"FALSE";0.001251;-6.68381204749736
"Female";1953;33;"CHE";"FALSE";0.00121;-6.71713491937349
"Female";1953;34;"CHE";"FALSE";0.001689;-6.38361864115647
"Female";1953;35;"CHE";"FALSE";0.001405;-6.56771797619643
"Female";1953;36;"CHE";"FALSE";0.00145;-6.53619172254965
"Female";1953;37;"CHE";"FALSE";0.001428;-6.55148041506474
"Female";1953;38;"CHE";"FALSE";0.001443;-6.5410309991904
"Female";1953;39;"CHE";"FALSE";0.001696;-6.37948274161243
"Female";1953;40;"CHE";"FALSE";0.002005;-6.2121112182236
"Female";1953;41;"CHE";"FALSE";0.002267;-6.08929790745675
"Female";1953;42;"CHE";"FALSE";0.002078;-6.1763493863051
"Female";1953;43;"CHE";"FALSE";0.002875;-5.85170260473282
"Female";1953;44;"CHE";"FALSE";0.003424;-5.67694582070264
"Female";1953;45;"CHE";"FALSE";0.002135;-6.14928863230155
"Female";1953;46;"CHE";"FALSE";0.003377;-5.69076753757871
"Female";1953;47;"CHE";"FALSE";0.003866;-5.555534898196
"Female";1953;48;"CHE";"FALSE";0.004073;-5.50337545031586
"Female";1953;49;"CHE";"FALSE";0.004414;-5.42297397114759
"Female";1953;50;"CHE";"FALSE";0.00516;-5.26681869948867
"Female";1953;51;"CHE";"FALSE";0.005182;-5.26256419684222
"Female";1953;52;"CHE";"FALSE";0.006457;-5.04259046533781
"Female";1953;53;"CHE";"FALSE";0.006936;-4.9710300395039
"Female";1953;54;"CHE";"FALSE";0.006428;-5.04709183110687
"Female";1953;55;"CHE";"FALSE";0.007378;-4.90925267980765
"Female";1953;56;"CHE";"FALSE";0.008261;-4.79620963340177
"Female";1953;57;"CHE";"FALSE";0.00863;-4.7525107738868
"Female";1953;58;"CHE";"FALSE";0.009327;-4.67484185923741
"Female";1953;59;"CHE";"FALSE";0.011098;-4.50099036707843
"Female";1953;60;"CHE";"FALSE";0.011913;-4.43012503816491
"Female";1953;61;"CHE";"FALSE";0.01192;-4.42953761734493
"Female";1953;62;"CHE";"FALSE";0.015465;-4.1691758728451
"Female";1953;63;"CHE";"FALSE";0.015782;-4.14888522888329
"Female";1953;64;"CHE";"FALSE";0.017518;-4.04452635524124
"Female";1953;65;"CHE";"FALSE";0.019438;-3.94052536590086
"Female";1953;66;"CHE";"FALSE";0.022694;-3.78565470661334
"Female";1953;67;"CHE";"FALSE";0.025953;-3.65146806911579
"Female";1953;68;"CHE";"FALSE";0.028735;-3.54963938702243
"Female";1953;69;"CHE";"FALSE";0.03332;-3.4015974616835
"Female";1953;70;"CHE";"FALSE";0.034904;-3.35515384316083
