iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
384.0,0.4163442820371073,0.01,5,0.0,0.8,1.0,1,2,binary:logistic,hist,logloss
397.0,0.41638717105055323,0.01,6,0.0,1.0,0.8,2,2,binary:logistic,hist,logloss
397.0,0.41638717105055323,0.01,6,0.0001,1.0,0.8,2,2,binary:logistic,hist,logloss
370.0,0.4165686094732176,0.01,5,0.0001,0.8,1.0,2,1,binary:logistic,hist,logloss
370.0,0.4165686094732176,0.01,5,0.0,0.8,1.0,2,1,binary:logistic,hist,logloss
362.0,0.41665976696220186,0.01,6,0.0,1.0,0.8,1,2,binary:logistic,hist,logloss
362.0,0.41665976696220186,0.01,6,0.0001,1.0,0.8,1,2,binary:logistic,hist,logloss
433.0,0.4166730581836953,0.01,4,0.0001,1.0,1.0,0,0,binary:logistic,hist,logloss
433.0,0.4166730581836953,0.01,4,0.0,1.0,1.0,0,0,binary:logistic,hist,logloss
366.0,0.41679698282153155,0.01,6,0.0001,0.8,0.8,2,1,binary:logistic,hist,logloss
366.0,0.41679698282153155,0.01,6,0.0,0.8,0.8,2,1,binary:logistic,hist,logloss
318.0,0.41679779459598487,0.01,6,0.0001,0.8,0.8,2,0,binary:logistic,hist,logloss
318.0,0.41679779459598487,0.01,6,0.0,0.8,0.8,2,0,binary:logistic,hist,logloss
362.0,0.4168685335281685,0.01,6,0.0,1.0,0.8,2,1,binary:logistic,hist,logloss
362.0,0.4168685335281685,0.01,6,0.0001,1.0,0.8,2,1,binary:logistic,hist,logloss
360.0,0.41688851717646036,0.01,5,0.0001,0.8,1.0,1,1,binary:logistic,hist,logloss
360.0,0.41688851717646036,0.01,5,0.0,0.8,1.0,1,1,binary:logistic,hist,logloss
378.0,0.4168928365898125,0.01,6,0.0001,0.8,0.8,0,2,binary:logistic,hist,logloss
378.0,0.4168928365898125,0.01,6,0.0,0.8,0.8,0,2,binary:logistic,hist,logloss
